sr,flow,estimate,actual
ကချင်ပြည်နယ်,ရငွေ,89120.517,89681.485
ကယားပြည်နယ်,ရငွေ,29299.505,30808.459
ကရင်ပြည်နယ်,ရငွေ,47962.213,47991.369
ချင်းပြည်နယ်,ရငွေ,4089.59,4160.278
စစ်ကိုင်းတိုင်းဒေသကြီး,ရငွေ,194584.077,109530.701
တနင်္လာရီတိုင်းဒေသကြီး,ရငွေ,77994.446,78691.297
ပဲခူးတိုင်းဒေသကြီး,ရငွေ,82593.145,82505.211
မကွေးတိုင်းဒေသကြီး,ရငွေ,6285.997,84375.713
မန္တလေးတိုင်းဒေသကြီး,ရငွေ,99473.584,101507.656
မွန်ပြည်နယ်,ရငွေ,47388.362,47549.268
ရခိုင်ပြည်နယ်,ရငွေ,81129.531,81670.832
ရန်ကုန်တိုင်းဒေသကြီး,ရငွေ,160532.736,163717.73
ရှမ်းပြည်နယ်,ရငွေ,127530.463,127536.111
ဧရာဝတီတိုင်းဒေသကြီး,ရငွေ,76468.15,75519.215
ကချင်ပြည်နယ်,အသုံးစရိတ်,8928.527,8282.427
ကယားပြည်နယ်,အသုံးစရိတ်,9703.78,3312.83
ကရင်ပြည်နယ်,အသုံးစရိတ်,28889.939,28862.778
ချင်းပြည်နယ်,အသုံးစရိတ်,10015.834,8708.534
စစ်ကိုင်းတိုင်းဒေသကြီး,အသုံးစရိတ်,32683.791,14390.131
တနင်္လာရီတိုင်းဒေသကြီး,အသုံးစရိတ်,16090.229,16030.753
ပဲခူးတိုင်းဒေသကြီး,အသုံးစရိတ်,9878.275,9878.275
မကွေးတိုင်းဒေသကြီး,အသုံးစရိတ်,31163.301,20718.301
မန္တလေးတိုင်းဒေသကြီး,အသုံးစရိတ်,28031.073,28026.069
မွန်ပြည်နယ်,အသုံးစရိတ်,10210.6,10198.751
ရခိုင်ပြည်နယ်,အသုံးစရိတ်,22144.818,22144.818
ရန်ကုန်တိုင်းဒေသကြီး,အသုံးစရိတ်,53838.55,53174.803
ရှမ်းပြည်နယ်,အသုံးစရိတ်,44110.14,44110.14
ဧရာဝတီတိုင်းဒေသကြီး,အသုံးစရိတ်,22654.836,22654.836
